,date_on_str,instrument,buy_traded_date_time,buy_direction,buy_price,sell_traded_date_time,sell_direction,sell_price,candle_position,profit_loss,qty,profit_loss_points
0,2020-02-01,0.72,2020-02-01 15:20:00+05:30,up,29812.2,2020-02-01 12:05:00+05:30,down,30692.8,False,-880.5999999999985,1,-880.5999999999985
1,2020-03-17,3.82,2020-03-17 15:20:00+05:30,up,22058.3,2020-03-17 09:50:00+05:30,down,23398.4,False,-1340.1000000000022,1,-1340.1000000000022
2,2020-07-07,0.57,2020-07-07 12:20:00+05:30,up,22312.15,2020-07-07 15:20:00+05:30,down,22567.0,False,-254.84999999999854,1,-254.84999999999854
3,2020-07-31,0.03,2020-07-31 15:20:00+05:30,up,21640.55,2020-07-31 09:50:00+05:30,down,21722.05,False,-81.5,1,-81.5
4,2020-10-13,0.41,2020-10-13 15:20:00+05:30,up,23474.65,2020-10-13 11:25:00+05:30,down,23635.55,False,-160.89999999999782,1,-160.89999999999782
5,2021-02-19,0.45,2021-02-19 15:20:00+05:30,up,35890.15,2021-02-19 09:45:00+05:30,down,36339.15,False,-449.0,1,-449.0
6,2021-03-17,0.12,2021-03-17 15:20:00+05:30,up,34141.9,2021-03-17 11:55:00+05:30,down,34883.45,False,-741.5499999999956,1,-741.5499999999956
7,2021-06-14,0.39,2021-06-14 15:20:00+05:30,up,34962.35,2021-06-14 14:40:00+05:30,down,34966.85,False,-4.5,1,-4.5
8,2021-10-29,1.49,2021-10-29 15:20:00+05:30,up,39183.4,2021-10-29 09:55:00+05:30,down,39411.9,False,-228.5,1,-228.5
9,2022-06-07,0.38,2022-06-07 09:20:00+05:30,up,35064.55,2022-06-07 15:20:00+05:30,down,35001.8,False,62.75,1,62.75
10,2022-07-01,0.55,2022-07-01 10:30:00+05:30,up,33248.35,2022-07-01 15:20:00+05:30,down,33629.45,False,-381.09999999999854,2,-762.1999999999971
11,2022-08-08,0.56,2022-08-08 09:35:00+05:30,up,37859.3,2022-08-08 15:20:00+05:30,down,38221.85,False,-362.54999999999563,1,-362.54999999999563
12,2022-09-30,0.15,2022-09-30 10:40:00+05:30,up,38308.7,2022-09-30 15:20:00+05:30,down,38728.85,False,-420.15000000000146,1,-420.15000000000146
