,date_on_str,instrument,buy_traded_date_time,buy_direction,buy_price,sell_traded_date_time,sell_direction,sell_price,candle_position,profit_loss,qty,profit_loss_points
0,2020-01-08,0.46,2020-01-08 09:20:00+05:30,up,31031.7,2020-01-08 15:20:00+05:30,down,31376.5,False,-344.7999999999993,1,-344.7999999999993
1,2020-01-17,0.43,2020-01-17 15:20:00+05:30,up,31563.4,2020-01-17 09:25:00+05:30,down,31570.55,False,-7.149999999997817,1,-7.149999999997817
2,2020-01-21,0.38,2020-01-21 09:20:00+05:30,up,30963.0,2020-01-21 15:20:00+05:30,down,30951.55,False,11.450000000000728,1,11.450000000000728
3,2020-02-24,0.62,2020-02-24 09:20:00+05:30,up,30513.4,2020-02-24 15:20:00+05:30,down,30437.1,False,76.30000000000291,2,152.60000000000582
4,2020-02-26,0.39,2020-02-26 15:20:00+05:30,up,30360.4,2020-02-26 09:30:00+05:30,down,30263.75,False,96.65000000000146,3,289.95000000000437
5,2020-02-28,0.45,2020-02-28 15:20:00+05:30,up,29175.75,2020-02-28 09:20:00+05:30,down,29500.55,False,-324.7999999999993,4,-1299.199999999997
6,2020-03-06,1.62,2020-03-06 09:20:00+05:30,up,27540.7,2020-03-06 15:20:00+05:30,down,27774.25,False,-233.54999999999927,1,-233.54999999999927
7,2020-03-09,0.64,2020-03-09 09:20:00+05:30,up,26966.9,2020-03-09 15:20:00+05:30,down,26406.05,False,560.8500000000022,1,560.8500000000022
8,2020-03-12,1.67,2020-03-12 15:20:00+05:30,up,24153.75,2020-03-12 09:20:00+05:30,down,25074.2,False,-920.4500000000007,2,-1840.9000000000015
9,2020-03-13,3.61,2020-03-13 10:20:00+05:30,up,22923.85,2020-03-13 15:20:00+05:30,down,25203.2,True,-2279.350000000002,1,-2279.350000000002
10,2020-03-19,1.94,2020-03-19 11:00:00+05:30,up,19469.85,2020-03-19 15:20:00+05:30,down,20036.7,False,-566.8500000000022,1,-566.8500000000022
11,2020-03-23,3.1,2020-03-23 15:20:00+05:30,up,16888.1,2020-03-23 09:20:00+05:30,down,18670.95,False,-1782.8500000000022,1,-1782.8500000000022
12,2020-03-30,1.15,2020-03-30 15:20:00+05:30,up,18769.85,2020-03-30 09:25:00+05:30,down,19188.1,False,-418.25,1,-418.25
13,2020-04-21,0.75,2020-04-21 15:20:00+05:30,up,19384.7,2020-04-21 09:20:00+05:30,down,19673.0,True,-288.2999999999993,1,-288.2999999999993
14,2020-05-12,1.14,2020-05-12 14:30:00+05:30,up,18846.65,2020-05-12 15:20:00+05:30,down,18880.1,False,-33.44999999999709,1,-33.44999999999709
15,2020-05-14,0.57,2020-05-14 15:20:00+05:30,up,19093.2,2020-05-14 10:25:00+05:30,down,19166.0,True,-72.79999999999927,1,-72.79999999999927
16,2020-05-22,0.9,2020-05-22 15:20:00+05:30,up,17320.5,2020-05-22 10:25:00+05:30,down,17474.85,False,-154.34999999999854,1,-154.34999999999854
17,2020-06-25,1.06,2020-06-25 09:45:00+05:30,up,21303.05,2020-06-25 15:20:00+05:30,down,21499.05,False,-196.0,1,-196.0
18,2020-06-29,0.36,2020-06-29 15:05:00+05:30,up,21345.85,2020-06-29 15:20:00+05:30,down,21374.2,False,-28.350000000002183,1,-28.350000000002183
19,2020-08-20,0.27,2020-08-20 15:20:00+05:30,up,21985.35,2020-08-20 09:20:00+05:30,down,21974.9,True,10.44999999999709,1,10.44999999999709
20,2020-09-04,0.83,2020-09-04 09:45:00+05:30,up,23164.0,2020-09-04 15:20:00+05:30,down,23066.75,False,97.25,2,194.5
21,2020-09-09,0.52,2020-09-09 15:20:00+05:30,up,22286.95,2020-09-09 09:30:00+05:30,down,22474.25,False,-187.29999999999927,3,-561.8999999999978
