,date_on_str,instrument,buy_traded_date_time,buy_direction,buy_price,sell_traded_date_time,sell_direction,sell_price,candle_position,profit_loss,qty,profit_loss_points
0,2020-01-02,-131.09999999999854,2020-01-02 14:10:00+05:30,up,32348.35,2020-01-02 15:20:00+05:30,down,32430.45,diff_super_trend,-82.10000000000218,1,-82.10000000000218
1,2020-01-07,-157.79999999999927,2020-01-07 13:25:00+05:30,up,31224.65,2020-01-07 15:20:00+05:30,down,31429.05,diff_super_trend,-204.39999999999782,1,-204.39999999999782
2,2020-01-29,-107.70000000000073,2020-01-29 10:40:00+05:30,up,31037.65,2020-01-29 15:20:00+05:30,down,30875.5,diff_super_trend,162.15000000000146,1,162.15000000000146
3,2020-02-12,-9.5,2020-02-12 09:25:00+05:30,up,31530.95,2020-02-12 15:20:00+05:30,down,31479.4,diff_super_trend,51.54999999999927,2,103.09999999999854
4,2020-02-14,-211.09999999999854,2020-02-14 10:50:00+05:30,up,31045.45,2020-02-14 15:20:00+05:30,down,30837.1,diff_super_trend,208.35000000000218,3,625.0500000000065
5,2020-02-17,-438.65000000000146,2020-02-17 09:20:00+05:30,up,30728.75,2020-02-17 15:20:00+05:30,down,30686.1,diff_super_trend,42.650000000001455,4,170.60000000000582
6,2020-03-03,-572.4000000000015,2020-03-03 10:35:00+05:30,up,28860.4,2020-03-03 15:20:00+05:30,down,29238.8,diff_super_trend,-378.3999999999978,5,-1891.999999999989
7,2020-03-24,-1092.0,2020-03-24 09:30:00+05:30,up,16877.55,2020-03-24 15:20:00+05:30,down,17185.9,diff_super_trend,-308.3500000000022,1,-308.3500000000022
8,2020-05-05,-314.2999999999993,2020-05-05 10:00:00+05:30,up,19809.15,2020-05-05 15:20:00+05:30,down,19318.3,diff_super_trend,490.8500000000022,1,490.8500000000022
9,2020-05-26,-271.0,2020-05-26 14:15:00+05:30,up,17352.4,2020-05-26 15:20:00+05:30,down,17459.85,diff_super_trend,-107.44999999999709,2,-214.89999999999418
10,2020-05-27,-2.399999999997817,2020-05-27 10:25:00+05:30,up,17734.0,2020-05-27 15:20:00+05:30,down,18706.9,diff_super_trend,-972.9000000000015,1,-972.9000000000015
11,2020-06-04,-527.7999999999993,2020-06-04 09:30:00+05:30,up,20862.4,2020-06-04 15:20:00+05:30,down,20405.1,diff_super_trend,457.3000000000029,1,457.3000000000029
12,2020-06-23,-145.45000000000073,2020-06-23 14:40:00+05:30,up,22174.3,2020-06-23 15:20:00+05:30,down,22292.55,diff_super_trend,-118.25,2,-236.5
13,2020-07-28,-592.75,2020-07-28 09:55:00+05:30,up,21833.1,2020-07-28 15:20:00+05:30,down,22053.6,diff_super_trend,-220.5,1,-220.5
14,2020-09-10,-68.95000000000073,2020-09-10 10:50:00+05:30,up,22606.8,2020-09-10 15:20:00+05:30,down,22494.4,diff_super_trend,112.39999999999782,1,112.39999999999782
15,2020-10-06,18.799999999999272,2020-10-06 15:20:00+05:30,up,22866.0,2020-10-06 14:35:00+05:30,down,22837.35,diff_super_trend,28.650000000001455,2,57.30000000000291
16,2020-11-11,-9.200000000000728,2020-11-11 09:25:00+05:30,up,28926.1,2020-11-11 15:20:00+05:30,down,28867.9,diff_super_trend,58.19999999999709,3,174.59999999999127
17,2020-11-20,-536.2999999999993,2020-11-20 10:35:00+05:30,up,28830.05,2020-11-20 15:20:00+05:30,down,29167.45,diff_super_trend,-337.40000000000146,4,-1349.6000000000058
18,2020-11-24,-102.45000000000073,2020-11-24 10:05:00+05:30,up,29497.05,2020-11-24 15:20:00+05:30,down,29763.55,diff_super_trend,-266.5,1,-266.5
19,2020-12-04,-199.54999999999927,2020-12-04 10:25:00+05:30,up,29922.6,2020-12-04 15:20:00+05:30,down,30120.55,diff_super_trend,-197.95000000000073,1,-197.95000000000073
20,2021-01-18,-166.40000000000146,2021-01-18 09:30:00+05:30,up,32224.85,2021-01-18 15:20:00+05:30,down,31691.45,diff_super_trend,533.3999999999978,1,533.3999999999978
21,2021-01-25,-504.9500000000007,2021-01-25 09:45:00+05:30,up,31102.1,2021-01-25 15:20:00+05:30,down,31167.05,diff_super_trend,-64.95000000000073,2,-129.90000000000146
22,2021-02-01,-49.5,2021-02-01 10:10:00+05:30,up,31133.2,2021-02-01 15:20:00+05:30,down,33121.65,diff_super_trend,-1988.4500000000007,1,-1988.4500000000007
23,2021-02-10,-247.3000000000029,2021-02-10 09:20:00+05:30,up,35880.6,2021-02-10 15:20:00+05:30,down,35877.7,diff_super_trend,2.900000000001455,1,2.900000000001455
24,2021-03-02,84.75,2021-03-02 15:20:00+05:30,up,35484.9,2021-03-02 09:25:00+05:30,down,35693.35,diff_super_trend,-208.4499999999971,2,-416.8999999999942
25,2021-03-08,-21.85000000000582,2021-03-08 09:30:00+05:30,up,35631.15,2021-03-08 15:20:00+05:30,down,35332.2,diff_super_trend,298.95000000000437,1,298.95000000000437
26,2021-03-09,-7.849999999998545,2021-03-09 10:05:00+05:30,up,35855.05,2021-03-09 15:20:00+05:30,down,35853.0,diff_super_trend,2.0500000000029104,2,4.100000000005821
27,2021-03-18,-417.0500000000029,2021-03-18 13:15:00+05:30,up,34011.25,2021-03-18 15:20:00+05:30,down,33875.15,diff_super_trend,136.09999999999854,3,408.29999999999563
28,2021-03-23,-286.45000000000437,2021-03-23 10:55:00+05:30,up,34136.6,2021-03-23 15:20:00+05:30,down,34134.5,diff_super_trend,2.099999999998545,4,8.39999999999418
29,2021-04-16,146.15000000000146,2021-04-16 15:20:00+05:30,up,31973.6,2021-04-16 10:35:00+05:30,down,32201.0,diff_super_trend,-227.40000000000146,5,-1137.0000000000073
30,2021-05-17,-132.59999999999854,2021-05-17 09:35:00+05:30,up,32664.05,2021-05-17 15:20:00+05:30,down,33470.9,diff_super_trend,-806.8500000000022,1,-806.8500000000022
31,2021-05-21,-91.94999999999709,2021-05-21 09:35:00+05:30,up,33888.45,2021-05-21 15:20:00+05:30,down,34638.8,diff_super_trend,-750.3500000000058,1,-750.3500000000058
32,2021-07-22,-89.40000000000146,2021-07-22 09:40:00+05:30,up,34880.55,2021-07-22 15:20:00+05:30,down,34707.8,diff_super_trend,172.75,1,172.75
33,2021-07-23,-208.75,2021-07-23 09:30:00+05:30,up,34489.85,2021-07-23 15:20:00+05:30,down,34997.0,diff_super_trend,-507.15000000000146,2,-1014.3000000000029
34,2021-08-12,-260.4499999999971,2021-08-12 09:25:00+05:30,up,35765.55,2021-08-12 15:20:00+05:30,down,35976.75,diff_super_trend,-211.1999999999971,1,-211.1999999999971
35,2021-09-08,-61.200000000004366,2021-09-08 09:45:00+05:30,up,36715.25,2021-09-08 15:20:00+05:30,down,36816.0,diff_super_trend,-100.75,1,-100.75
36,2021-09-14,0.3000000000029104,2021-09-14 15:20:00+05:30,up,36621.05,2021-09-14 09:35:00+05:30,down,36702.35,diff_super_trend,-81.29999999999563,1,-81.29999999999563
37,2021-09-23,13.60000000000582,2021-09-23 15:20:00+05:30,up,37795.6,2021-09-23 09:25:00+05:30,down,37405.9,diff_super_trend,389.6999999999971,1,389.6999999999971
38,2021-09-27,55.549999999995634,2021-09-27 15:20:00+05:30,up,38171.35,2021-09-27 09:25:00+05:30,down,38202.3,diff_super_trend,-30.950000000004366,2,-61.90000000000873
39,2021-10-14,-9.900000000001455,2021-10-14 09:30:00+05:30,up,38848.35,2021-10-14 15:20:00+05:30,down,39325.3,diff_super_trend,-476.95000000000437,1,-476.95000000000437
40,2021-10-21,-5.5,2021-10-21 14:35:00+05:30,up,39851.25,2021-10-21 15:20:00+05:30,down,40112.0,diff_super_trend,-260.75,1,-260.75
41,2021-11-01,-258.5,2021-11-01 09:20:00+05:30,up,39156.0,2021-11-01 15:20:00+05:30,down,39846.25,diff_super_trend,-690.25,1,-690.25
42,2021-11-18,-245.0,2021-11-18 10:10:00+05:30,up,37969.1,2021-11-18 15:20:00+05:30,down,37989.35,diff_super_trend,-20.25,1,-20.25
43,2021-11-30,-100.04999999999563,2021-11-30 09:35:00+05:30,up,36388.55,2021-11-30 15:20:00+05:30,down,35546.25,diff_super_trend,842.3000000000029,1,842.3000000000029
44,2021-12-07,-162.40000000000146,2021-12-07 09:55:00+05:30,up,36369.5,2021-12-07 15:20:00+05:30,down,36578.75,diff_super_trend,-209.25,2,-418.5
45,2021-12-21,-293.29999999999563,2021-12-21 14:30:00+05:30,up,34422.95,2021-12-21 15:20:00+05:30,down,34647.15,diff_super_trend,-224.20000000000437,1,-224.20000000000437
46,2021-12-30,-349.59999999999854,2021-12-30 09:20:00+05:30,up,34914.0,2021-12-30 15:20:00+05:30,down,35110.3,diff_super_trend,-196.3000000000029,1,-196.3000000000029
47,2022-01-18,-233.1999999999971,2022-01-18 13:05:00+05:30,up,38697.0,2022-01-18 15:20:00+05:30,down,38225.6,diff_super_trend,471.40000000000146,1,471.40000000000146
48,2022-01-31,-207.09999999999854,2022-01-31 10:45:00+05:30,up,37686.9,2022-01-31 15:20:00+05:30,down,37946.75,diff_super_trend,-259.84999999999854,2,-519.6999999999971
49,2022-02-15,-537.1000000000058,2022-02-15 09:40:00+05:30,up,36811.0,2022-02-15 15:20:00+05:30,down,38202.9,diff_super_trend,-1391.9000000000015,1,-1391.9000000000015
50,2022-02-17,-377.29999999999563,2022-02-17 09:30:00+05:30,up,37762.0,2022-02-17 15:20:00+05:30,down,37461.3,diff_super_trend,300.6999999999971,1,300.6999999999971
51,2022-02-23,14.05000000000291,2022-02-23 15:20:00+05:30,up,37363.7,2022-02-23 09:25:00+05:30,down,37754.85,diff_super_trend,-391.15000000000146,2,-782.3000000000029
52,2022-03-14,92.09999999999854,2022-03-14 15:20:00+05:30,up,35255.45,2022-03-14 11:00:00+05:30,down,34966.75,diff_super_trend,288.6999999999971,1,288.6999999999971
53,2022-04-19,-22.150000000001455,2022-04-19 13:40:00+05:30,up,36924.45,2022-04-19 15:20:00+05:30,down,36136.35,diff_super_trend,788.0999999999985,2,1576.199999999997
54,2022-04-29,31.900000000001455,2022-04-29 15:20:00+05:30,up,36043.45,2022-04-29 09:25:00+05:30,down,36554.85,diff_super_trend,-511.40000000000146,3,-1534.2000000000044
55,2022-05-23,186.09999999999854,2022-05-23 15:20:00+05:30,up,34152.8,2022-05-23 09:30:00+05:30,down,34390.6,diff_super_trend,-237.79999999999563,1,-237.79999999999563
56,2022-06-23,-136.15000000000146,2022-06-23 09:30:00+05:30,up,33170.25,2022-06-23 15:20:00+05:30,down,33155.0,diff_super_trend,15.25,1,15.25
57,2022-07-06,-269.34999999999854,2022-07-06 13:15:00+05:30,up,34335.35,2022-07-06 15:20:00+05:30,down,34344.6,diff_super_trend,-9.25,2,-18.5
58,2022-07-27,-266.84999999999854,2022-07-27 09:20:00+05:30,up,36277.25,2022-07-27 15:20:00+05:30,down,36788.3,diff_super_trend,-511.0500000000029,1,-511.0500000000029
59,2022-09-27,-301.25,2022-09-27 10:45:00+05:30,up,38650.45,2022-09-27 15:20:00+05:30,down,38479.4,diff_super_trend,171.04999999999563,1,171.04999999999563
